,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
354,masvingo,-20.0637,30.8277,11.62,72,0,2.08,ZW,1658878047
355,khvastovichi,53.4694,35.0941,16.92,94,45,1.38,RU,1658878048
356,neyyattinkara,8.4,77.0833,26.92,88,24,3.39,IN,1658878048
357,dzan,20.3833,-89.4667,28.47,70,79,2.04,MX,1658878048
358,kang,-23.6752,22.7876,15.17,41,13,3.74,BW,1658878049
359,raga,8.4596,25.678,20.42,96,100,2.49,SS,1658878049
360,talakan,50.3167,130.3667,24.85,71,0,1.54,RU,1658878049
361,tura,25.5198,90.2201,22.15,91,59,1.27,IN,1658878049
362,elliot lake,46.3834,-82.6331,21.1,56,45,4.16,CA,1658878050
363,coari,-4.085,-63.1414,27.32,59,52,0.46,BR,1658878050
364,godda,24.8333,87.2167,26.07,85,76,3.21,IN,1658878050
365,mezhdurechenskiy,59.6,65.9333,11.09,69,79,2.41,RU,1658878051
366,ciamis,-7.3257,108.3534,21.0,92,98,0.42,ID,1658878051
